fact_id,location_id,time_id,product_id,price
20001,53,35,54,3.97
20002,53,36,54,3.99
20003,53,37,54,3.99
20004,53,38,54,3.99
20005,53,39,54,3.99
20006,53,40,54,3.99
20007,53,125,55,40.75
20008,53,126,55,40.63
20009,53,127,55,40.3
20010,53,128,55,34.63
20011,53,129,55,34.86
20012,53,130,55,38.75
20013,53,131,55,40.63
20014,53,132,55,49.75
20015,53,133,55,53.3
20016,53,134,55,50.75
20017,53,135,55,48.89
20018,53,136,55,47.45
20019,53,137,55,46.52
20020,53,138,55,47.52
20021,53,139,55,48.19
20022,53,140,55,43.19
20023,53,141,55,46.86
20024,53,142,55,46.75
20025,53,143,55,46.86
20026,53,144,55,45.97
20027,53,145,55,46.63
20028,53,146,55,51.12
20029,53,147,55,51.67
20030,53,148,55,44.6
20031,53,149,55,44.3
20032,53,150,55,45.97
20033,53,151,55,43.89
20034,53,152,55,39.15
20035,53,153,55,36.93
20036,53,154,56,30.63
20037,53,155,56,33.25
20038,53,156,56,35.28
20039,53,157,56,35.51
20040,53,158,56,41.72
20041,53,159,56,43.92
20042,53,160,56,46.25
20043,53,210,56,32.82
20044,53,166,56,42.1
20045,53,167,56,46.83
20046,53,168,56,61.87
20047,53,169,56,70.47
20048,53,170,56,63.2
20049,53,1,56,46.63
20050,53,2,56,43.82
20051,53,3,56,40.51
20052,53,4,56,41.31
20053,53,5,56,49.19
20054,53,9,56,53.75
20055,53,10,56,49.87
20056,53,11,56,45.98
20057,53,12,56,47.34
20058,53,13,56,50.74
20059,53,14,56,48.9
20060,53,15,56,46.9
20061,53,172,56,43.32
20062,53,173,56,40.34
20063,53,16,56,40.61
20064,53,17,56,42.4
20065,53,18,56,41.23
20066,53,19,56,40.87
20067,53,20,56,42.79
20068,53,21,56,53.43
20069,53,22,56,52.93
20070,53,23,56,49.43
20071,53,24,56,47.05
20072,53,25,56,45.4
20073,53,26,56,43.79
20074,53,27,56,47.58
20075,53,28,56,50.63
20076,53,29,56,61.11
20077,53,30,56,65.95
20078,53,31,56,72.2
20079,53,32,56,73.37
20080,53,34,56,70.23
20081,53,35,56,59.79
20082,53,36,56,52.39
20083,53,37,56,53.16
20084,53,38,56,48.31
20085,53,39,56,45.1
20086,53,40,56,44.75
20087,53,125,57,21.28
20088,53,126,57,21.31
20089,53,127,57,21.19
20090,53,128,57,21.06
20091,53,129,57,21.2
20092,53,130,57,20.59
20093,53,131,57,20.81
20094,53,132,57,20.63
20095,53,133,57,20.81
20096,53,134,57,20.81
20097,53,135,57,20.21
20098,53,136,57,20.92
20099,53,137,57,21.63
20100,53,138,57,21.77
20101,53,139,57,20.44
20102,53,140,57,20.0
20103,53,141,57,19.75
20104,53,142,57,19.95
20105,53,143,57,18.88
20106,53,144,57,20.28
20107,53,145,57,19.94
20108,53,146,57,19.81
20109,53,147,57,20.02
20110,53,148,57,19.75
20111,53,149,57,19.44
20112,53,150,57,19.71
20113,53,151,57,19.54
20114,53,152,57,19.38
20115,53,153,57,19.25
20116,53,125,59,0.4
20117,53,126,59,0.46
20118,53,127,59,0.46
20119,53,128,59,0.46
20120,53,129,59,0.46
20121,53,130,59,0.46
20122,53,131,59,0.46
20123,53,132,59,0.46
20124,53,133,59,0.46
20125,53,134,59,0.46
20126,53,135,59,0.46
20127,53,136,59,0.47
20128,53,137,59,0.47
20129,53,138,59,0.41
20130,53,139,59,0.41
20131,53,140,59,0.41
20132,53,141,59,0.47
20133,53,172,59,0.49
20134,53,173,59,0.49
20135,53,16,59,0.49
20136,53,17,59,0.49
20137,53,18,59,0.49
20138,53,19,59,0.49
20139,53,20,59,0.49
20140,53,21,59,0.49
20141,53,22,59,0.49
20142,53,23,59,0.49
20143,53,24,59,0.49
20144,53,25,59,0.49
20145,53,26,59,0.49
20146,53,27,59,0.49
20147,53,28,59,0.49
20148,53,29,59,0.49
20149,53,30,59,0.49
20150,53,31,59,0.49
20151,53,32,59,0.49
20152,53,34,59,0.49
20153,53,35,59,0.49
20154,53,36,59,0.49
20155,53,37,59,0.49
20156,53,38,59,0.49
20157,53,39,59,0.49
20158,53,40,59,0.49
20159,53,154,60,20.23
20160,53,155,60,20.2
20161,53,156,60,19.84
20162,53,157,60,19.91
20163,53,158,60,19.92
20164,53,159,60,19.81
20165,53,160,60,19.94
20166,53,210,60,25.42
20167,53,166,60,25.0
20168,53,167,60,25.49
20169,53,168,60,25.31
20170,53,169,60,25.37
20171,53,170,60,25.41
20172,53,1,60,25.82
20173,53,2,60,26.07
20174,53,3,60,25.79
20175,53,4,60,25.93
20176,53,5,60,25.57
20177,53,9,60,25.63
20178,53,10,60,25.53
20179,53,11,60,25.1
20180,53,12,60,25.25
20181,53,13,60,25.58
20182,53,14,60,25.68
20183,53,15,60,25.53
20184,53,172,60,24.17
20185,53,173,60,24.1
20186,53,16,60,24.12
20187,53,17,60,23.84
20188,53,18,60,23.79
20189,53,19,60,23.65
20190,53,20,60,23.68
20191,53,21,60,23.6
20192,53,22,60,23.17
20193,53,23,60,23.39
20194,53,24,60,23.39
20195,53,25,60,23.2
20196,53,26,60,23.09
20197,53,27,60,23.09
20198,53,28,60,23.14
20199,53,29,60,23.24
20200,53,30,60,23.37
20201,53,31,60,23.19
20202,53,32,60,23.32
20203,53,34,60,23.12
20204,53,35,60,23.19
20205,53,36,60,23.13
20206,53,37,60,23.13
20207,53,38,60,23.13
20208,53,39,60,23.11
20209,53,40,60,22.93
20210,54,172,13,0.7
20211,54,173,13,0.7
20212,54,16,13,0.7
20213,54,17,13,0.7
20214,54,18,13,0.7
20215,54,19,13,0.7
20216,54,20,13,0.7
20217,54,21,13,0.7
20218,54,22,13,0.7
20219,54,23,13,0.7
20220,54,24,13,0.7
20221,54,25,13,0.7
20222,54,26,13,0.7
20223,54,27,13,0.7
20224,54,28,13,0.7
20225,54,29,13,0.7
20226,54,30,13,0.7
20227,54,31,13,0.7
20228,54,32,13,0.7
20229,54,34,13,0.7
20230,54,35,13,0.7
20231,54,36,13,0.7
20232,54,37,13,0.7
